Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
02070;BERNOT;02120;;BERNOT;49.878869204, 3.486862327
02088;BIEVRES;02860;;BIEVRES;49.492525273, 3.714128715
02093;BLERANCOURT;02300;;BLERANCOURT;49.507875635, 3.15089154
02103;BOUE;02450;;BOUE;50.011550543, 3.714459526
02109;LA BOUTEILLE;02140;;LA BOUTEILLE;49.878288472, 3.96176401
02116;BRAYE EN THIERACHE;02140;;BRAYE EN THIERACHE;49.768049649, 3.962134828
02118;BRAYE;02880;;BRAYE;49.422387936, 3.376975383
02127;BRUYERES SUR FERE;02130;;BRUYERES SUR FERE;49.199671957, 3.445415703
02135;BUIRONFOSSE;02620;;BUIRONFOSSE;49.958217815, 3.83827898
02136;BURELLES;02140;;BURELLES;49.768802224, 3.911694741
02146;CELLES LES CONDE;02330;;CELLES LES CONDE;49.01485859, 3.569453258
02148;CELLES SUR AISNE;02370;;CELLES SUR AISNE;49.415647667, 3.475187219
02153;CESSIERES SUZY;02320;CESSIERES;CESSIERES SUZY;49.558013373, 3.48118285
02154;CHACRISE;02200;;CHACRISE;49.299932209, 3.397501152
02158;CHAMOUILLE;02860;;CHAMOUILLE;49.472574306, 3.670803217
02162;LA CHAPELLE SUR CHEZY;02570;;LA CHAPELLE SUR CHEZY;48.949543456, 3.376327211
02164;LE CHARMEL;02850;;LE CHARMEL;49.112431003, 3.541566223
02176;CHAVONNE;02370;;CHAVONNE;49.407528707, 3.562380284
02177;CHERET;02860;;CHERET;49.514292728, 3.686902535
02181;CHERY LES ROZOY;02360;;CHERY LES ROZOY;49.722465319, 4.101513436
02182;CHEVENNES;02250;;CHEVENNES;49.818031969, 3.736290274
02186;CHEZY SUR MARNE;02570;;CHEZY SUR MARNE;48.984427277, 3.382357064
02189;CHIVRES EN LAONNOIS;02350;;CHIVRES EN LAONNOIS;49.626903051, 3.855468948
02192;CHOUY;02210;;CHOUY;49.216959296, 3.247470895
02197;CLAIRFONTAINE;02260;;CLAIRFONTAINE;49.974089631, 3.986389624
02208;CONCEVREUX;02160;;CONCEVREUX;49.376787975, 3.789619058
02209;CONDE EN BRIE;02330;;CONDE EN BRIE;49.00176432, 3.560653495
02212;CONDREN;02700;;CONDREN;49.636851541, 3.276684294
02217;COUCY LE CHATEAU AUFFRIQUE;02380;;COUCY LE CHATEAU AUFFRIQUE;49.515873452, 3.315968841
02226;COURMELLES;02200;;COURMELLES;49.343552574, 3.301958811
02237;CRECY SUR SERRE;02270;;CRECY SUR SERRE;49.698802025, 3.62272969
02240;CROIX FONSOMME;02110;;CROIX FONSOMME;49.930902634, 3.393853083
02270;DOUCHY;02590;;DOUCHY;49.794212842, 3.130285722
02283;ERLON;02250;;ERLON;49.734265823, 3.705372654
