Code service sages|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|13/01/2021|Vente|88685,91||||B009|CHAZEAUX|1340|SAINT-SULPICE|01|387||A|285||||||||||||0||||||T||13040
|||||||000001|13/01/2021|Vente|88685,91||||B009|CHAZEAUX|1340|SAINT-SULPICE|01|387||A|286||||||||||||0||||||P||7460
|||||||000001|13/01/2021|Vente|88685,91||||B009|CHAZEAUX|1340|SAINT-SULPICE|01|387||A|293||||||||||||0||||||T||1770
|||||||000001|13/01/2021|Vente|88685,91||||B009|CHAZEAUX|1340|SAINT-SULPICE|01|387||A|294||||||||||||0||||||VI||580
|||||||000001|13/01/2021|Vente|88685,91||||B015|GRAND BROGUET|1340|SAINT-SULPICE|01|387||A|622||||||||||||0||||||P||3782
|||||||000001|13/01/2021|Vente|88685,91||||B009|CHAZEAUX|1340|SAINT-SULPICE|01|387||A|667||||||||||||0||||||S||59
|||||||000001|13/01/2021|Vente|88685,91||||B009|CHAZEAUX|1340|SAINT-SULPICE|01|387||A|672||||||||||||0||||||T||8419
|||||||000001|08/01/2021|Vente|150000,00|433||GR|0019|GRANDE RUE|1340|ATTIGNAT|01|24||AB|55||14||||||||||1|3|Dépendance||0|0|||
|||||||000001|08/01/2021|Vente|150000,00|433||GR|0019|GRANDE RUE|1340|ATTIGNAT|01|24||AB|55||41|79,97|||||||||1|2|Appartement||79|3|||
|||||||000001|18/01/2021|Vente|123000,00||||B018|LES BOURDONNIERES|1370|VAL-REVERMONT|01|426||A|1659||||||||||||0||||||S||442
|||||||000001|20/01/2021|Vente|200000,00|69||ALL|0153|DES GENEVRIERS|1000|SAINT-DENIS-LES-BOURG|01|344||AN|116||||||||||||0|1|Maison||91|5|S||602
|||||||000001|08/01/2021|Vente|201400,00||||B073|LE MANILLER|1370|BENY|01|38||C|691||||||||||||0||||||J||23
|||||||000001|08/01/2021|Vente|201400,00|131||RTE|0040|DES BLANCS|1370|BENY|01|38||C|704||||||||||||0|1|Maison||104|5|J||614
|||||||000001|08/01/2021|Vente|201400,00|131||RTE|0040|DES BLANCS|1370|BENY|01|38||C|704||||||||||||0|1|Maison||104|5|S||614
|||||||000001|15/01/2021|Vente|70000,00|5054|||B004|BOISSEY|1290|CRUZILLES-LES-MEPILLAT|01|136||B|955||||||||||||0|1|Maison||50|3|S||1520
|||||||000001|15/01/2021|Vente|70000,00||||B004|BOISSEY|1290|CRUZILLES-LES-MEPILLAT|01|136||B|957||||||||||||0||||||P||903
|||||||000001|08/01/2021|Vente|88000,00|196||RTE|0050|DE CORMOMBLE|1190|BOISSEY|01|50||B|360||||||||||||0|2|Appartement||25|1|S||2030
|||||||000001|08/01/2021|Vente|88000,00|196||RTE|0050|DE CORMOMBLE|1190|BOISSEY|01|50||B|360||||||||||||0|2|Appartement||62|2|S||2030
|||||||000001|08/01/2021|Vente|88000,00||||B028|CORMONBLE|1190|BOISSEY|01|50||B|890||||||||||||0||||||T||3830
|||||||000001|06/01/2021|Vente|70000,00|30||PL|0420|MICHEL POISAT|1190|PONT-DE-VAUX|01|305||AE|266||||||||||||0|4|Local industriel. commercial ou assimilé||180|0|S||341
